Электрмен жабдықтау жүйелерінің сенімділігі;Нaдежнoсть систем электрoснaбжения
Электрлік сұлбалар және ақпараттық өлшеуіш аспаптар;Электрические схемы и информационно – измерительные приборы
ЭТН 1;ТОЭ 1
Электр қамту жүйесіндегі өтпелі процестер;Перехoдные прoцессы в СЭС
Электромеханика және электротехникалық жабдықтар;Электрoмехaникa и электрoтехническoе oбoрудoвaние
Дәстүрлі емес және жаңартылатын энергия көздері;Нетрaдициoнные и вoзoбнoвляемые истoчники энергии
Электр энергетикасы /1/;Электроэнергетика /1/
Электр жетегі;Электропривод
Өнеркәсіптік электроника;Промышленная электроника
Электроника;Электроника
Өндірістік процестерді автоматтандыру;Автоматизация производственных процессов
ЭТН-2;ТОЭ-2
Электр машиналары;Электрические машины
Электрлік жарықтандыру жабдығы;Оборудование электрического освещения
Электр желілері мен жүйелері;Электрические сети и системы
Электр станциялары мен қосалқы станциялар;Электрические стaнции и пoдстaнции
Өнеркәсіптік қауіпсіздік;Промышленная безопасность
Электр қамту жүйесіндегі релелік қорғаныс және автоматика;Релейнaя зaщитa и aвтoмaтикa в СЭС
Электр жабдықтарын жөндеу;Ремонт электрооборудования
Өнеркәсіптік кәсіпорындарды электрмен жабдықтауды жобалау;Проектирование электроснабжения промышленных предприятий
Электр қауіпсіздігі;Электробезопасность
Автоматты реттеудің сызықтық жүйелері;Линейные системы автоматического регулирования
Сандық схемотехника;Цифровая схемотехника
Электр машиналары мен электр жетектері;Электрические машины и электроприводы
Автоматты реттеудің сызықтық емес жүйелері;Нелинейные системы автоматического регулирования
Электротехниканың теориялық негіздері;Теоретические основы электротехники
Автоматтандыру және басқару негіздері /1/;Основы автоматизации и управления /1/
Басқару жүйесіндегі микропроцессорлық кешендер;Микропроцессорные комплексы в системе управления
Деректерді сақтау және талдау;Хранение и анализ данных
Автоматтандырылған басқару жүйелерін жобалау;Проектирование автоматизированных систем управления
Энергетика объектілері мен басқару жүйелерінің диагностикасы;Диагностика объектов энергетики и систем управления
Жылу энергиясын өндірудің технологиялық негіздері;Технологические основы производства тепловой энергии
Жылу станцияларының технологиялық процестерін автоматтандыру және басқару;Автоматизация и управление технологическими процессами тепловых станций
Электр энергетикалық жүйелердегі автоматтандырылған басқару жүйелері;Автоматизированные системы управления в электроэнергетических системах
Электр энергиясын бақылау мен есепке алудың автоматтандырылған жүйесі;Автоматизированная система контроля и учета электроэнергии
Автоматика элементтері мен құрылғылары;Элементы и устройства автоматики
SCADA жүйелері;SCADA‑системы
Ақпараттық қауіпсіздік және ақпаратты қорғау;Информационная безопасность и защита информации
Автоматтандырылған электр жетегі;Автоматизированный электропривод
Тілдер және бағдарламалау технологиясы;Языки и технологии программирования      
Алгоритмдеу  және бағдарламалау;Алгоритмизация и программирования
Электронды коммерция;Электронная коммерция
РНР бағдарламалау /1/;PHP программирование 
HTML және CSS негіздері;Основы HTML и CSS
Компьютер  сәулеті;Архитектура компьютера
Есептеу жүйелерін және желілерін ұйымдастыру;Организация вычислительных систем  и сетей
Компьютерлік ақпаратты қорғау әдістері мен құралдары;Методы и средства защиты компьютерной  информации
Есептеу кешендерінің операциялық жүйелері;Операционные системы вычислительных комплексов
Компьютерлік желілер;Компьютерные сети
Деректер қорының технологиясы;Технология баз данных
Компьютерлік графика /1/;Компьютерная графика /1/
С#   тілінде қосымшаларды өңдеу /1/;Разработка приложений в С#   /1/
Деректер базасын басқару және әзірлеу /1/;Администрирование и разработка баз данных /1/
РНР бағдарламалау /3/;PHP программирование /3/
Ақпарат теориясы;Теория информации
Инженерлiк графика;Инженерная графика
3D- модельдеу;3D‑моделирование
Бағдарламаларды өңдеудің құрал-жабдықтары;Инструментальные средства разработки программ
Кодтау теориясы;Теория кодирования
Нысанаға бағытталған бағдарламалау;Объектно-ориентированное программирование
С# тілінде қосымшаларды өңдеу;Разработка приложений в С#      
Java тілінде бағдарламалау;Программирование на языке Java
Ақпараттық-коммуникациялық технологиялар;Информационно-коммуникационные технологии 
Жасанды интеллект негіздері;Основы искусственного интеллекта
Математика;Математика
Физика;Физика
Электротехника негіздері;Основы электротехники
Тамақ биохимиясы;Пищевая биохимия
Қазіргі тағамдық инженерия;Современная пищевая инженерия
Басқару жүйелеріндегі стандарттау және сертификаттау;Стандартизация и сертификация в системах управления
Экология және тұрақты даму;Экология и устойчивое развитие
Басқару әдістері және қоршаған ортаға әсерді бағалау;Методы управления и оценка воздействия окружающей среды
Метрология, стандарттау және сертификаттау;Метрология, стандартизация и сертификация 
Аналитикалық химия;Аналитическая химия
Тіршілік әрекетінің қауіпсіздігі;Безопасность жизнедеятельности
Өндірістік желдету;Промышленная вентиляция
Өнеркәсіптік қауіпсіздікті техникалық реттеу;Техническое регулирование промышленной безопасности
Өнеркәсіптік және техникалық қауіпсіздік негіздері;Основы промышленной и технической безопасности
Авариялық-құтқару жұмыстарын ұйымдастыру мен жүргізу және оларды техникалық қамтамасыз ету;Организация и ведение аварийно-спасательных работ и их техническое оснащение
Жұмыс орындарын аттестаттау әдістемесі;Методика аттестации рабочих мест
Өрт қауіпсіздігі негіздері;Основы пожарной безопасности
Жазатайым оқиғалар кезінде дәрігерге дейін көмек көрсетудің әдістемесі мен әдістері;Методика и способы оказания доврачебной помощи при несчастных случаях
Еңбекті қорғау;Охрана труда
Ғимараттар мен құрылыстарды өрттен қорғау;Пожарная защита зданий и сооружений
Еңбек физиологиясы;Физиология труда
Экологиялық қауіпсіздік саласындағы заңнамалық және нормативтік актілер;Законодательные и нормативные акты в сфере экологической безопасности 
Техникалық және өнеркәсіптік қауіпсіздік саласындағы заңнамалық және нормативтік актілер;Законодательные и нормативные акты в сфере технической и промышленной безопасности  
Өндірістік санитария;Производственная санитария
Қоршаған ортаның химиялық ластануы;Химическое загрязнение окружающей среды
Химиялық және биологиялық қауіпсіздік негіздері;Основы химической и биологической безопасности
Паразитология және инвазиялық аурулар;Паразитология и инвазионные болезни
Практикалық хирургия;Практическая хирургия
Зертханалық іс;Лабораторное дело
Жануарлар морфологиясы;Морфология животных
Жануарлар физиологиясы;Физиология животных
Жануарлар биохимиясы;Биохимия животных
Мал шаруашылығы және мал азықтандыру;Животноводство и кормление животных
Жануарлар патологиясы /1/;Патология животных /1/
Ветеринарлық генетика;Ветеринарная генетика
Ветеринарлық микробиология және вирусология /1/;Ветеринарная микробиология и вирусология /1/
Ветеринарлық гигиена және санитария;Ветеринарная гигиена и санитария
Жалпы және жеке хирургия;Общая и частная хирургия
Ветеринарлық микробиология және вирусология  /2;Ветеринарная микробиология и вирусология /2/
Соттық ветеринария;Судебная ветеринария
Індеттану және жануарлардың індетті аурулары /1/;Эпизоотология и инфекционные болезни животных /1/
Алғашқы ветеринарлық көмек;Первая ветеринарная помощь
Ветеринарлық фармакология және токсикология /1/;Ветеринарная фармакология и токсикология /1/
Індеттану және жануарлардың індетті аурулары /2/;Эпизоотология и инфекционные болезни животных /2/
Індеттану және жануарлардың індетті аурулары;Эпизоотология и инфекционные болезни животных
Жалпы хирургия;Общая хирургия
Жануарлардың спецификалық жұқпалы емес аурулары;Специфические незаразные болезни животных
Терапевтикалық техника;Терапевтическая техника
Ветеринарлық акушерлік;Ветеринарное акушерство 
Жануарлардың эмерджентті және трансшекаралық аурулары;Эмерджентные и трансграничные болезни животных
Патологияны диагностикалаудың, емдеудің және алдын алудың инновациялық әдістері;Инновационные методы диагностики, лечения и профилактики патологий
Ветеринарлық биологиялық препараттар;Ветеринарные биологические препараты
Ветеринариядағы менеджмент;Менеджмент в ветеринарии
Ішкі жұқпалы емес аурулары;Внутренние незаразные болезни
Практикалық терапия;Практическая терапия
Ветеринариялық хирургия /2/;Ветеринарная хирургия /2/
Паразитология және инвазиялық аурулар /2/;Паразитология и инвазионные болезни  /2/
Ветеринарлық істі ұйымдастыру;Организация ветеринарного дела
Оперативтік хирургия;Оперативная хирургия
Ветеринарлық андрология;Ветеринарная андрология
Ауыл шаруашылық жануарларын жасанды ұрықтандыру;Искусственное осеменение сельскохозяйственных животных  
Гинекологиялық аурулар;Гинекологические болезни
